"file","max.intensity","lambda"
"20070725_01forirr.txt","0.38129","699.91"
"20070725_01forrad.txt","0.005057","698.61"
"20070725_01leftirr.txt","1.3084","635.89"
"20070725_01leftrad.txt","0.0091539","699.91"
"20070725_01rightirr.txt","0.18119","698.61"
"20070725_01rightrad.txt","0.0066388","699.91"
"20070725_01updamrad.txt","0.040668","699.91"
"20070725_01upirr.txt","7.3128","635.89"
"20070725_01uprad.txt","0.18487","553.62"
"20070725_02fordamrad.txt","0.029062","699.91"
"20070725_02forirr.txt","0.52001","698.98"
"20070725_02forrad.txt","0.17322","668.78"
"20070725_02leftirr.txt","0.83085","699.91"
"20070725_02leftrad.txt","0.050072","699.91"
"20070725_02rightirr.txt","0.91104","698.61"
"20070725_02rightrad.txt","0.022028","699.91"
"20070725_02updamrad.txt","0.11448","699.91"
"20070725_02upirr.txt","9.5139","635.89"
"20070725_02uprad.txt","0.12666","699.91"
"20070725_03fordamrad.txt","0.10391","699.91"
"20070725_03forirr.txt","0.38386","699.91"
"20070725_03leftirr.txt","0.5295","698.61"
"20070725_03leftrad.txt","0.042714","698.61"
"20070725_03rightirr.txt","0.42639","698.61"
"20070725_03rightrad.txt","0.15098","678.34"
"20070725_03updamrad.txt","0.039923","699.91"
"20070725_03upirr.txt","8.8359","635.89"
"20070725_03uprad.txt","0.18875","699.91"
"20070725_04fordamrad.txt","0.032009","698.61"
"20070725_04forirr.txt","0.33973","698.61"
"20070725_04forrad.txt","0.003634","698.61"
"20070725_04leftirr.txt","0.66098","699.91"
"20070725_04leftrad.txt","0.017393","699.91"
"20070725_04rightirr.txt","0.28872","698.61"
"20070725_04rightrad.txt","0.0070216","698.61"
"20070725_04updamrad.txt","0.049715","699.91"
"20070725_04upirr.txt","9.138","635.89"
"20070725_04uprad.txt","0.074276","699.91"
